==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=-1, evaluate=False, gamma=0.1, gpu_devices='0', height=256, lr=0.0003, lr_cent=0.5, max_epoch=60, print_freq=2, resume='', root='data', save_dir='log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_cent=0.0005, weight_decay=0.0005, width=128, workers=4)
==========
Currently using CPU (GPU is highly recommended)
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    19732
  ------------------------------
  total    |  1501 |    36036
  ------------------------------
Initializing model: resnet50
Model size: 25.04683M
start training
==> Start training
Epoch: [1][290/404]	Bacth_Time 15.995 (20.232)	Data 0.003 (0.022)	Loss 5.4916 (6.2605)	
Epoch: [1][292/404]	Bacth_Time 15.636 (20.199)	Data 0.003 (0.022)	Loss 6.0417 (6.2578)	
Epoch: [1][294/404]	Bacth_Time 15.527 (20.168)	Data 0.003 (0.022)	Loss 5.4840 (6.2537)	
Epoch: [1][296/404]	Bacth_Time 24.699 (20.185)	Data 0.005 (0.022)	Loss 5.1700 (6.2481)	
Epoch: [1][298/404]	Bacth_Time 24.789 (20.201)	Data 0.006 (0.022)	Loss 5.6158 (6.2427)	
Epoch: [1][300/404]	Bacth_Time 26.517 (20.244)	Data 0.003 (0.022)	Loss 5.3180 (6.2366)	
Epoch: [1][302/404]	Bacth_Time 26.975 (20.287)	Data 0.005 (0.022)	Loss 5.5976 (6.2308)	
Epoch: [1][304/404]	Bacth_Time 26.443 (20.326)	Data 0.004 (0.022)	Loss 5.4542 (6.2261)	
Epoch: [1][306/404]	Bacth_Time 24.660 (20.356)	Data 0.003 (0.021)	Loss 5.7168 (6.2211)	
Epoch: [1][308/404]	Bacth_Time 30.142 (20.409)	Data 0.004 (0.021)	Loss 5.2341 (6.2155)	
Epoch: [1][310/404]	Bacth_Time 22.383 (20.428)	Data 0.003 (0.021)	Loss 5.5420 (6.2111)	
Epoch: [1][312/404]	Bacth_Time 26.936 (20.459)	Data 0.004 (0.021)	Loss 5.7507 (6.2076)	
Epoch: [1][314/404]	Bacth_Time 22.422 (20.496)	Data 0.004 (0.021)	Loss 5.5678 (6.2028)	
Epoch: [1][316/404]	Bacth_Time 23.121 (20.519)	Data 0.003 (0.021)	Loss 5.5357 (6.1971)	
Epoch: [1][318/404]	Bacth_Time 22.954 (20.536)	Data 0.003 (0.021)	Loss 5.4124 (6.1922)	
Epoch: [1][320/404]	Bacth_Time 22.688 (20.549)	Data 0.003 (0.021)	Loss 5.3285 (6.1869)	
Epoch: [1][322/404]	Bacth_Time 23.852 (20.568)	Data 0.002 (0.021)	Loss 5.4799 (6.1820)	
Epoch: [1][324/404]	Bacth_Time 23.730 (20.586)	Data 0.004 (0.020)	Loss 5.3948 (6.1775)	
Epoch: [1][326/404]	Bacth_Time 23.694 (20.597)	Data 0.003 (0.020)	Loss 5.5052 (6.1730)	
Epoch: [1][328/404]	Bacth_Time 22.410 (20.626)	Data 0.005 (0.020)	Loss 5.1724 (6.1677)	
Epoch: [1][330/404]	Bacth_Time 21.888 (20.636)	Data 0.004 (0.020)	Loss 5.8547 (6.1654)	
Epoch: [1][332/404]	Bacth_Time 23.084 (20.647)	Data 0.004 (0.020)	Loss 4.7880 (6.1587)	
Epoch: [1][334/404]	Bacth_Time 26.054 (20.667)	Data 0.005 (0.020)	Loss 5.3656 (6.1545)	
Epoch: [1][336/404]	Bacth_Time 24.670 (20.693)	Data 0.005 (0.020)	Loss 4.9116 (6.1498)	
Epoch: [1][338/404]	Bacth_Time 23.564 (20.711)	Data 0.004 (0.020)	Loss 5.2665 (6.1443)	
Epoch: [1][340/404]	Bacth_Time 22.578 (20.724)	Data 0.004 (0.020)	Loss 5.4151 (6.1380)	
Epoch: [1][342/404]	Bacth_Time 25.651 (20.742)	Data 0.004 (0.020)	Loss 4.8026 (6.1318)	
